rule,tuple,bc,n_points,N_min,N_max,wall_hadamard,km_base,km_base_kind,cesaro_base,cesaro_base_kind,cesaro_base_name,fix_upper_base,fix_upper_base_kind,sandwich,certified_Nmax,any_certified,n_weak_Nmax,grades_coherence
3,VVDD,pbc,6,4,9,False,1.0,exact,0.7071067811865477,fit,,3.0,exact,interval,False,False,0,False
6,IVDD,pbc,6,4,9,False,1.0,exact,1.1180339887498947,fit,,2.8776347780629283,fit,interval,False,False,1,True
11,VEDD,pbc,6,4,9,False,1.0,exact,0.577350269189626,fit,,2.0832403610140626,fit,interval,False,False,0,False
17,VDVD,pbc,6,4,9,False,1.0,exact,0.7071067811865477,fit,,3.0,exact,interval,False,False,0,False
18,DVVD,pbc,6,4,9,True,1.0,exact,0.9999999999999999,fit,,3.0081176404740892,fit,interval,False,False,0,True
19,VVVD,pbc,5,4,8,True,1.0,exact,0.9198662110077999,fit,,3.5273049601711564,fit,interval,False,False,0,False
20,IDVD,pbc,6,4,9,False,1.0,exact,1.1180339887498947,fit,,3.1325868427565915,fit,interval,False,False,1,True
22,IVVD,pbc,6,4,9,True,1.0,exact,2.43745286530596,fit,,3.662733859152166,fit,interval,False,False,1,True
23,EVVD,pbc,6,4,9,True,1.0,exact,1.666666666666666,fit,,2.9964485842350888,fit,interval,False,False,1,True
25,VIVD,pbc,6,4,9,False,1.0,exact,1.0,fit,,3.5274443619974627,fit,interval,False,False,0,False
26,DEVD,pbc,6,4,9,False,0.9803906099397734,fit,1.4142135623730947,fit,,1.7860610059378417,fit,interval,False,False,6,True
27,VEVD,pbc,6,4,9,False,1.0,exact,1.0,fit,,3.0553561279243135,fit,interval,False,False,0,False
33,VDDV,pbc,6,4,9,False,1.0,exact,0.35355339059327395,fit,,2.871642132611364,fit,interval,False,False,0,False
35,VVDV,pbc,6,4,9,False,1.0,exact,0.7071067811865477,fit,,3.4499031417153647,fit,interval,False,False,0,False
36,IDDV,pbc,6,4,9,False,1.4655712318767682,exact,1.7759071354792602,fit,,2.9694169365270144,fit,interval,False,False,2,True
37,EDDV,pbc,6,4,9,False,1.0,exact,2.9999999999999982,fit,,2.4002569155495115,fit,interval,False,False,0,True
38,IVDV,pbc,6,4,9,False,1.0,exact,0.8164965809277259,fit,,3.5523704806112146,fit,interval,False,False,0,False
39,EVDV,pbc,6,4,9,False,1.0,exact,1.0,fit,,3.0553561279243135,fit,interval,False,False,0,False
41,VIDV,pbc,6,4,9,False,1.0,exact,0.35355339059327395,fit,,3.087115528722656,fit,interval,False,False,0,True
43,VEDV,pbc,6,4,9,False,1.0,exact,0.8164965809277259,fit,,2.514831598234054,fit,interval,False,False,0,False
44,IIDV,pbc,6,4,9,False,1.4655712318767682,exact,1.7759071354792602,fit,,3.149809558173853,fit,interval,False,False,3,True
45,EIDV,pbc,6,4,9,False,1.0,exact,2.9999999999999982,fit,,2.6674211558899326,fit,interval,False,False,3,True
46,IEDV,pbc,6,4,9,False,1.0,exact,0.8660254037844388,fit,,2.105088702780135,fit,interval,False,False,1,True
47,EEDV,pbc,6,4,9,False,1.0,exact,0.577350269189626,fit,,2.0832403610140626,fit,interval,False,False,0,False
49,VDVV,pbc,6,4,9,False,1.0,exact,0.7071067811865477,fit,,3.3071501471621247,fit,interval,False,False,0,False
50,DVVV,pbc,5,4,8,True,1.0,exact,0.5547001962252294,fit,,3.5273049601711564,fit,interval,False,False,0,True
52,IDVV,pbc,6,4,9,False,1.0,exact,0.8164965809277259,fit,,3.4061793368315367,fit,interval,False,False,0,False
53,EDVV,pbc,6,4,9,False,1.0,exact,1.0,fit,,2.913235789052083,fit,interval,False,False,0,False
55,EVVV,pbc,5,4,8,True,1.0,exact,0.9198662110077999,fit,,3.5273049601711564,fit,interval,False,False,0,False
59,VEVV,pbc,6,4,9,False,1.0,exact,0.7071067811865477,fit,,3.4499031417153647,fit,interval,False,False,0,False
61,EIVV,pbc,6,4,9,False,1.0,exact,1.0,fit,,3.563767871865421,fit,interval,False,False,0,False
62,IEVV,pbc,6,4,9,False,1.0,exact,0.8164965809277259,fit,,3.17401223257978,fit,interval,False,False,0,False
63,EEVV,pbc,6,4,9,False,1.0,exact,0.7071067811865477,fit,,3.0,exact,interval,False,False,0,False
67,VVID,pbc,6,4,9,False,1.0,exact,1.0,fit,,3.563767871865421,fit,interval,False,False,0,False
75,VEID,pbc,6,4,9,False,1.0,exact,2.9999999999999982,fit,,2.6674211558899326,fit,interval,False,False,3,True
81,VDED,pbc,6,4,9,False,1.0,exact,0.5773502691896258,fit,,2.148340785129787,fit,interval,False,False,0,False
82,DVED,pbc,6,4,9,False,1.0404032832218364,fit,1.4142135623730947,fit,,1.6475672891421023,fit,interval,False,False,7,True
83,VVED,pbc,6,4,9,False,1.0,exact,1.0,fit,,2.913235789052083,fit,interval,False,False,0,False
89,VIED,pbc,6,4,9,False,1.0,exact,2.9999999999999982,fit,,2.6165911063750995,fit,interval,False,False,3,True
91,VEED,pbc,6,4,9,False,1.0,exact,2.9999999999999982,fit,,2.4002569155495115,fit,interval,False,False,0,True
97,VDIV,pbc,6,4,9,False,1.0,exact,0.35355339059327395,fit,,3.0982166279585,fit,interval,False,False,0,True
100,IDIV,pbc,6,4,9,False,1.4655712318767682,exact,1.7759071354792602,fit,,3.0728352221257973,fit,interval,False,False,3,True
101,EDIV,pbc,6,4,9,False,1.0,exact,2.9999999999999982,fit,,2.6165911063750995,fit,interval,False,False,3,True
103,EVIV,pbc,6,4,9,False,1.0,exact,1.0,fit,,3.5274443619974627,fit,interval,False,False,0,False
104,DIIV,pbc,6,4,9,False,1.2979719913580239,fit,1.2583057392117913,fit,,3.5140018848417522,fit,interval,False,False,3,True
106,DEIV,pbc,6,4,9,False,1.0,exact,0.35355339059327395,fit,,2.321042863247874,fit,interval,False,False,1,True
107,VEIV,pbc,6,4,9,False,1.0,exact,0.35355339059327395,fit,,3.087115528722656,fit,interval,False,False,0,True
113,VDEV,pbc,6,4,9,False,1.0,exact,0.816496580927726,fit,,2.717168921482684,fit,interval,False,False,0,False
115,VVEV,pbc,6,4,9,False,1.0,exact,0.7071067811865477,fit,,3.3071501471621247,fit,interval,False,False,0,False
116,IDEV,pbc,6,4,9,False,1.1040895136738123,fit,0.8660254037844388,fit,,2.1825507152740684,fit,interval,False,False,1,True
117,EDEV,pbc,6,4,9,False,1.0,exact,0.5773502691896258,fit,,2.148340785129787,fit,interval,False,False,0,False
118,IVEV,pbc,6,4,9,False,1.0,exact,0.8164965809277259,fit,,3.1514715131475626,fit,interval,False,False,0,False
119,EVEV,pbc,6,4,9,False,1.0,exact,0.7071067811865477,fit,,3.0,exact,interval,False,False,0,False
120,DIEV,pbc,6,4,9,False,1.0,exact,0.35355339059327395,fit,,2.3565843184798405,fit,interval,False,False,0,True
121,VIEV,pbc,6,4,9,False,1.0,exact,0.35355339059327395,fit,,3.0982166279585,fit,interval,False,False,0,True
122,DEEV,pbc,6,4,9,False,1.0,exact,0.35355339059327395,fit,,2.3089743961493916,fit,interval,False,False,0,True
123,VEEV,pbc,6,4,9,False,1.0,exact,0.35355339059327395,fit,,2.871642132611364,fit,interval,False,False,0,False
131,VVDI,pbc,6,4,9,False,1.0,exact,0.8164965809277259,fit,,3.17401223257978,fit,interval,False,False,0,False
134,IVDI,pbc,6,4,9,False,1.0,exact,1.0954451150103321,fit,,2.879989935886578,fit,interval,False,False,1,True
139,VEDI,pbc,6,4,9,False,1.0,exact,0.8660254037844388,fit,,2.105088702780135,fit,interval,False,False,1,True
145,VDVI,pbc,6,4,9,False,1.0,exact,0.8164965809277259,fit,,3.1514715131475626,fit,interval,False,False,0,False
146,DVVI,pbc,6,4,9,True,1.0,exact,1.6124515496597092,fit,,3.589421747237686,fit,interval,False,False,1,True
148,IDVI,pbc,6,4,9,False,1.0,exact,1.0954451150103321,fit,,2.759488223544945,fit,interval,False,False,1,True
151,EVVI,pbc,6,4,9,True,1.0,exact,2.43745286530596,fit,,3.662733859152166,fit,interval,False,False,1,True
154,DEVI,pbc,6,4,9,False,1.0,exact,1.0,fit,,2.647362606379155,fit,interval,False,False,2,True
155,VEVI,pbc,6,4,9,False,1.0,exact,0.8164965809277259,fit,,3.5523704806112146,fit,interval,False,False,0,False
158,IEVI,pbc,6,4,9,False,1.0,exact,1.0954451150103321,fit,,2.879989935886578,fit,interval,False,False,1,True
159,EEVI,pbc,6,4,9,False,1.0,exact,1.1180339887498947,fit,,2.8776347780629283,fit,interval,False,False,1,True
161,VDDE,pbc,6,4,9,False,1.0,exact,0.35355339059327395,fit,,2.3089743961493916,fit,interval,False,False,0,True
163,VVDE,pbc,6,4,9,False,1.0,exact,1.0,fit,,2.8083659715555083,fit,interval,False,False,0,True
166,IVDE,pbc,6,4,9,False,1.0,exact,1.0,fit,,2.647362606379155,fit,interval,False,False,2,True
167,EVDE,pbc,6,4,9,False,0.9803906099397734,fit,1.4142135623730947,fit,,1.7860610059378417,fit,interval,False,False,6,True
169,VIDE,pbc,6,4,9,False,1.0,exact,0.35355339059327395,fit,,2.321042863247874,fit,interval,False,False,1,True
177,VDVE,pbc,6,4,9,False,1.0,exact,1.0,fit,,2.8128851299577615,fit,interval,False,False,0,True
178,DVVE,pbc,6,4,9,True,1.0,exact,1.666666666666666,fit,,2.9964485842350888,fit,interval,False,False,1,True
179,VVVE,pbc,5,4,8,True,1.0,exact,0.5547001962252294,fit,,3.5273049601711564,fit,interval,False,False,0,True
180,IDVE,pbc,6,4,9,False,1.0,exact,1.0,fit,,2.5905025016704806,fit,interval,False,False,3,True
181,EDVE,pbc,6,4,9,False,1.0404032832218364,fit,1.4142135623730947,fit,,1.6475672891421023,fit,interval,False,False,7,True
182,IVVE,pbc,6,4,9,True,1.0,exact,1.6124515496597092,fit,,3.589421747237686,fit,interval,False,False,1,True
183,EVVE,pbc,6,4,9,True,1.0,exact,0.9999999999999999,fit,,3.0081176404740892,fit,interval,False,False,0,True
188,IIVE,pbc,6,4,9,False,1.0,exact,1.0,fit,,3.366167600114397,fit,interval,False,False,3,True
203,VEII,pbc,6,4,9,False,1.4655712318767682,exact,1.7759071354792602,fit,,3.149809558173853,fit,interval,False,False,3,True
209,VDEI,pbc,6,4,9,False,1.1040895136738123,fit,0.8660254037844388,fit,,2.1825507152740684,fit,interval,False,False,1,True
210,DVEI,pbc,6,4,9,False,1.0,exact,1.0,fit,,2.5905025016704806,fit,interval,False,False,3,True
211,VVEI,pbc,6,4,9,False,1.0,exact,0.8164965809277259,fit,,3.4061793368315367,fit,interval,False,False,0,False
214,IVEI,pbc,6,4,9,False,1.0,exact,1.0954451150103321,fit,,2.759488223544945,fit,interval,False,False,1,True
215,EVEI,pbc,6,4,9,False,1.0,exact,1.1180339887498947,fit,,3.1325868427565915,fit,interval,False,False,1,True
217,VIEI,pbc,6,4,9,False,1.4655712318767682,exact,1.7759071354792602,fit,,3.0728352221257973,fit,interval,False,False,3,True
219,VEEI,pbc,6,4,9,False,1.4655712318767682,exact,1.7759071354792602,fit,,2.9694169365270144,fit,interval,False,False,2,True
225,VDIE,pbc,6,4,9,False,1.0,exact,0.35355339059327395,fit,,2.3565843184798405,fit,interval,False,False,0,True
230,IVIE,pbc,6,4,9,False,1.0,exact,1.0,fit,,3.3163023720174145,fit,interval,False,False,3,True
233,VIIE,pbc,6,4,9,False,1.2979719913580239,fit,1.2583057392117913,fit,,3.5140018848417522,fit,interval,False,False,3,True
